complete code,complete code description,bottle component code,bottle component code description,shell component code,shell component code description
784552,Guinness FES    500ml CAN 24X01 SOMALIA,,,,
784554,Guinness FES    500ml CAN 24X01 SEYCHELL,,,,
784526,Tusker Malt Can 500ml CAN 24X01 SEYCHELL,,,,
785911,Tusker In Can   500ml CAN 24X01 Somalia,,,,
784525,Tusker Malt Can 500ml CAN 24X01 SOMALIA,,,,
784524,Tusker Malt Can 500ml CAN 24X01 SUDAN,,,,
786887,Pilsner         300ml RET 25X01 7%,350595,AMBER 300ML - MP,350605,GREEN 300ML - DAZZLE
784553,Guinness FES    500ml CAN 24X01 BURUDI,,,,
785900,Tusker Lite Can 500ml CAN 24X01 Somali,,,,
782264,Tusker Ndimu 25 300ml RET 25X01 RET,350595,AMBER 300ML - MP,350605,Shell - Large Plastic
785966,Tusker Lite Can 500ml CAN 24X01 Sudan,,,,
785912,Tusker In Can   500ml CAN 24X01 Rwanda,,,,
735653,Tusker Cider    500ml CAN 24X01 DutyFree,,,,
735651,Tusker Lite Can 500ml CAN 24X01 DutyFree,,,,
788767,White Cap Crisp 300ml RET 25X01 UG,350595,AMBER 300ML - MP,350605,Shell - Large Plastic
788759,White Cap Crisp 330ml CAN 24X01 UG,,,,
735521,Guinness FES    500ml CAN 24X01 DutyFree,,,,
788614,Manyatta C P&M  300ml BTL 25X01,350595,AMBER 300ML - MP,350605,Shell - Large Plastic
788611,Manyatta SC     300ml BTL 25X01,350595,AMBER 300ML - MP,350605,Shell - Large Plastic
788613,Manyatta C L&G  300ml BTL 25X01,350595,AMBER 300ML - MP,350605,Shell - Large Plastic
788612,Manyatta C M&G  300ml BTL 25X01,350595,AMBER 300ML - MP,350605,Shell - Large Plastic
788798,Tusker Malt Can 500ml CAN 24X01 Rwanda,,,,
789284,Manyatta SC     300ml RET 06X04 CTN RET,350595,AMBER 300ML - MP,,
789285,Manyatta C M&G  300ml RET 06X04 CTN RET,350595,AMBER 300ML - MP,,
789291,Manyatta C L&G  300ml RET 06X04 CTN RET,350595,AMBER 300ML - MP,,
789257,Manyatta C P&M  300ml RET 06X04 CTN RET,350595,AMBER 300ML - MP,,
788724,Tusker Ndimu 25 300ml RET 06X04 BBIC,350595,AMBER 300ML - MP,,
