12,"Allsopps 500ml RET Local",716077,25,"last updated on","2023-11-12 12:58:06",1
9,"Allsopps 500ml RET PROMO",777694,25,"inserted on","2023-11-12 12:16:55",1
150,"Alvaro Pnapple 330ml BTL 25X01 Local",623246,25,"last updated on","2023-11-21 17:09:33",1
44,"Alvaro Pnapple 330ml BTL 25X01 UBL Export",695969,25,"last updated on","2023-11-21 17:09:29",1
151,"Alvaro Pnapple 330ml CAN 24X01 EL Export",680219,24,"last updated on","2023-11-21 17:09:33",1
149,"Alvaro Pnapple 330ml CAN 24X01 Local",672279,24,"last updated on","2023-11-21 17:09:33",1
2,"Balozi 500ml RET Local",681232,25,"inserted on","2023-11-12 12:16:55",1
37,"Balozi Lager 500ml RET 25X01 DEFCO DEFCO",772347,25,"last updated on","2023-11-21 17:09:29",1
32,"Balozi Lager Ca 500ml CAN 24X01 DEFCO DEFCO",772346,24,"last updated on","2023-11-21 17:09:28",1
117,"Balozi Lager Ca 500ml CAN 24X01 Local",766268,24,"last updated on","2023-11-21 17:09:32",1
128,"Balozi LB 500ml NRB 06X04 NRB CTN Local",764336,24,"last updated on","2023-11-21 17:09:32",1
129,"Balozi LB 500ml RET 06X04 CTN RET Local",765881,24,"last updated on","2023-11-21 17:09:32",1
49,"Balozi LB 500ml RET 25X01 NCP22 Local",777693,25,"last updated on","2023-11-21 17:09:29",1
131,"Guin Smth Btl 500ml NRB 06X04 NRB CTN Local",764359,24,"last updated on","2023-11-21 17:09:32",1
121,"Guin Smth Btl 500ml RET 25X01 Local",758963,25,"last updated on","2023-11-21 17:09:32",1
184,"Guinness FES    330ml CAN 24X01 Local",789314,24,"last updated on","2024-02-01 17:23:44",0
171,"Guinness FES    500ml CAN 24X01 DutyFree",735521,24,"last updated on","2024-02-01 17:23:44",0
31,"Guinness FES 300ml RET 06X04 CTN RET Local",765891,24,"last updated on","2023-11-21 17:09:28",1
145,"Guinness FES 300ml RET 25X01 Local",696875,25,"last updated on","2023-11-21 17:09:33",1
147,"Guinness FES 300ml RET 25X01 S.Sudan Export",663562,25,"last updated on","2023-11-21 17:09:33",1
162,"Guinness FES 500ml CAN 24X01 Burundi Export",784553,24,"last updated on","2023-11-21 17:09:33",1
66,"Guinness FES 500ml CAN 24X01 DEFCO DEFCO",680886,24,"last updated on","2023-11-21 17:09:30",1
83,"Guinness FES 500ml CAN 24X01 Local",672404,24,"last updated on","2023-11-21 17:09:31",1
156,"Guinness FES 500ml CAN 24X01 Seychell Export",784554,24,"last updated on","2023-11-21 17:09:33",1
155,"Guinness FES 500ml CAN 24X01 Somalia Export",784552,24,"last updated on","2023-11-21 17:09:33",1
154,"Guinness FES 500ml CAN 24X01 Sudan Export",784539,24,"last updated on","2023-11-21 17:09:33",1
65,"Guinness FES 500ml CAN 24X01 UG Export",674681,24,"last updated on","2023-11-21 17:09:30",1
96,"Guinness FES 500ml RET 06X04 CTN RET Local",765830,24,"last updated on","2023-11-21 17:09:31",1
85,"Guinness FES 500ml RET 25X01 5.8 ABV Local",714499,25,"last updated on","2023-11-21 17:09:31",1
68,"Guinness FES 500ml RET 25X01 DEFCO DEFCO",696906,25,"last updated on","2023-11-21 17:09:30",1
52,"Guinness FES 500ml RET 25X01 NCP Local",777517,25,"last updated on","2023-11-21 17:09:29",1
95,"Guinness Kubwa 500ml NRB 06X04 NRB CTN Local",764356,24,"last updated on","2023-11-21 17:09:31",1
1,"Guinness Kubwa 500ml RET Local",696894,25,"inserted on","2023-11-12 12:16:55",1
148,"Guinness Smooth 300ml RET 25X01 Local",767380,25,"last updated on","2023-11-21 17:09:33",1
133,"Guinness Smooth 500ml RET 06X04 CTN RET Local",765880,24,"last updated on","2023-11-21 17:09:32",1
50,"Guinness Smooth 500ml RET 25X01 NCP Local",777511,25,"last updated on","2023-11-21 17:09:29",1
38,"Guinness Smth C 500ml CAN 24X01 Export Export",763397,24,"last updated on","2023-11-21 17:09:29",1
116,"Guinness Smth C 500ml CAN 24X01 Local",762724,24,"last updated on","2023-11-21 17:09:32",1
56,"Hop House 13 500ml CAN 24X01 Local",762789,24,"last updated on","2023-11-21 17:09:29",1
61,"Hop House 13 500ml RET 25X01 Local",754480,25,"last updated on","2023-11-21 17:09:30",1
54,"Hop House n Btl 500ml NRB 06X04 NRB CTN Local",764342,24,"last updated on","2023-11-21 17:09:29",1
55,"Hop House n Btl 500ml RET 06X04 CTN RET Local",765876,24,"last updated on","2023-11-21 17:09:29",1
60,"Hop House n Btl 500ml RET 25X01 Local",738783,25,"last updated on","2023-11-21 17:09:30",1
174,"Manyatta C L&G  300ml BTL 25X01 Local",788613,25,"last updated on","2024-02-01 17:23:44",0
183,"Manyatta C L&G  300ml RET 06X04 CTN RET Local",789291,24,"last updated on","2024-02-01 17:23:44",0
173,"Manyatta C M&G  300ml BTL 25X01 Local",788612,25,"last updated on","2024-02-01 17:23:44",0
182,"Manyatta C M&G  300ml RET 06X04 CTN Local",789285,24,"last updated on","2024-02-01 17:23:44",0
175,"Manyatta C P&M  300ml BTL 25X01 Local",788614,25,"last updated on","2024-02-01 17:23:44",0
180,"Manyatta C P&M  300ml RET 06X04 CTN RET Local",789257,24,"last updated on","2024-02-01 17:23:44",0
172,"Manyatta SC     300ml BTL 25X01 Local",788611,25,"last updated on","2024-02-01 17:23:44",0
181,"Manyatta SC     300ml RET 06X04 CTN RET Local",789284,24,"last updated on","2024-02-01 17:23:44",0
185,"Nairob Summer A 300ml RET 25X01 local",789318,25,"last updated on","2024-02-01 17:23:44",0
