Date,Code,Description, Total bottles ,cause, Bollore Recharge value ,Location
2023-09-28,762947,White Cap Lager 500ml RET 25X01,4,Breakages While Loading,373.34,NEW WHS 
2023-09-28,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,6,Breakages While Loading,556.98,NEW WHS 
2023-09-29,703125,Tusker In Bottl 500ml RET 25X01 EXP,5,Breakages While Loading,106.46,OLD WHS
2023-09-29,703125,Tusker In Bottl 500ml RET 25X01 EXP,3,Breakages While Loading,63.88,OLD WHS
2023-09-29,703125,Tusker In Bottl 500ml RET 25X01 EXP,4,Breakages While Loading,85.17,OLD WHS
2023-09-30,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,9,Breakages While Loading,835.47,OLD WHS
2023-09-30,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,4,Breakages While Loading,371.32,OLD WHS
2023-10-01,696894,Guinness FES    500ml RET 25X01,19,Breakages While Shunting,2204.63,OLD WHS
2023-10-02,642754,Tusker Malt In  330ml RET 25X01 local,1,Breakages While Loading,74.64,NEW WHS 
2023-10-03,696894,Guinness FES    500ml RET 25X01,22,Breakages While Shunting,2552.73,OLD WHS
2023-10-04,696894,Guinness FES    500ml RET 25X01,5,Breakages While Loading,580.17,NEW WHS 
2023-10-04,681232,Balozi Lager    500ml RET 25X01 LOCAL,1,Breakages While Loading,99.57,NEW WHS 
2023-09-28,703125,Tusker In Bottl 500ml RET 25X01 EXP,44,Breakages While Loading,936.85,OLD WHS
2023-09-29,703125,Tusker In Bottl 500ml RET 25X01 EXP,66,Breakages While Unstacking,1405.28,OLD WHS
2023-09-29,696894,Guinness FES    500ml RET 25X01,2,Breakages While Loading,232.07,NEW WHS 
2023-09-29,696894,Guinness FES    500ml RET 25X01,67,Breakage During Offloading,7774.23,NEW WHS 
2023-10-05,696894,Guinness FES    500ml RET 25X01,7,Breakages While Loading,812.23,NEW WHS 
2023-10-07,704768,Tusker Lite     330ml RET 25X01 EXP,11,Breakages While Loading,265.96,OLD WHS
2023-10-08,762947,White Cap Lager 500ml RET 25X01,11,Breakages While Shunting,1026.68,OLD WHS
2023-10-10,762947,White Cap Lager 500ml RET 25X01,2,Breakages While Loading,186.67,NEW WHS 
2023-10-10,696894,Guinness FES    500ml RET 25X01,1,Breakages While Loading,116.03,NEW WHS 
2023-10-10,704768,Tusker Lite     330ml RET 25X01 EXP,11,Breakages While Loading,265.96,OLD WHS
2023-10-06,762947,White Cap Lager 500ml RET 25X01,28,Breakage During Offloading,2613.36,NEW WHS 
2023-10-14,681232,Balozi Lager    500ml RET 25X01 LOCAL,23,Breakage During Offloading,2290.02,NEW WHS 
2023-10-17,696875,Guinness FES    300ml RET 25X01,4,Breakages While Loading,334.94,OLD WHS
2023-10-17,775004,White Cap Crips 300ml RET 25X01,11,Breakages While Loading,771.35,NEW WHS 
2023-10-19,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,12,Breakages While Shunting,1113.96,OLD WHS
2023-10-20,681232,Balozi Lager    500ml RET 25X01 LOCAL,75,Breakages While Shunting,7467.44,OLD WHS
2023-10-24,675369,Tusker Malt In  330ml RET 25X01 EXPORT,4,Breakages While Loading,105.91,OLD WHS
2023-10-25,703125,Tusker In Bottl 500ml RET 25X01 EXP,23,Breakages While Loading,489.72,OLD WHS
2023-10-25,704768,Tusker Lite     330ml RET 25X01 EXP,34,Breakages While Loading,822.07,OLD WHS
2023-10-26,704768,Tusker Lite     330ml RET 25X01 EXP,14,Breakages While Loading,338.5,OLD WHS
2023-10-26,681232,Balozi Lager    500ml RET 25X01 LOCAL,16,Breakages While Unstacking,1593.05,OLD WHS
2023-10-26,703125,Tusker In Bottl 500ml RET 25X01 EXP,19,Breakages While Loading,404.55,OLD WHS
2023-10-26,663869,Tusker Lite     330ml RET 25X01 LITE,12,Breakages While Loading,870.85,OLD WHS
2023-10-31,703125,Tusker In Bottl 500ml RET 25X01 EXP,20,Breakages While Loading,425.84,OLD WHS
2023-10-28,778380,Rockshore Tropi 300ml RET 25X01 UG,11,Breakages While Shunting,279.94,Isanda Canopy
2023-10-31,696894,Guinness FES    500ml RET 25X01,35,Breakages While Loading,4061.17,NEW WHS 
2023-11-01,672362,Pilsner Lager I 500ml CAN 24X01,4,Breakages While Sorting,479.16,OLD WHS
