GROUP,SKU,Description,BPC,Recharge Price / Case
Beer,704768,Tusker Lite     330ml RET 25X01 EXP,25,2942.21
Beer,695544,Tusker In Bottl 500ml RET 25X01 UBL,25,1927.31
Beer,616854,Tusker In Bottl 355ml NRB 24X01,24,2972.19
Beer,616888,Tusker In Bottl 355ml NRB 25X01,24,2771.11
Beer,674752,Pilsner Lager I 500ml CAN 24X01 EL,24,3535.86
Beer,674773,Tusker In Can   330ml CAN 24X01 EL,24,2676.82
Beer,695596,Tusker Lite     330ml RET 25X01 LITE UBL,25,4225.58
Beer,701270,Tusker In Bottl 500ml NRB 24X01,24,2468.29
Beer,704441,Tusker In Can   500ml CAN 24X01 UBL,24,4271.49
Beer,762197,Tusker Cdr in B 330ml RET 25X01 UG,25,3441.19
Beer,765891,Guinness FES    300ml RET 06X04 CTN RET,24,3224.74
Beer,772346,Balozi Lager Ca 500ml CAN 24X01 DEFCO,24,2946.4
Beer,775004,White Cap Crisp 300ml RET 25X01,25,5080.07
Beer,777512,White Cap Crisp 300ml RET 25X01 NCP,25,4826.09
Beer,772685,Tusker Cider    500ml RET 06X04 CTN NCP,24,4564.37
Beer,704396,Tusker In Bottl 355ml NRB 24X01 PELLET,24,2943.41
Beer,772347,Balozi Lager    500ml RET 25X01 DEFCO,25,2778.2
Beer,763397,Guinness Smth C 500ml CAN 24X01 Export,24,2007.93
Beer,764302,White Cap Lager 500ml RET 25X01 DEFCO,25,2132.07
Beer,777694,Allsopps Lager  500ml RET 25X01 NCP22,25,3017.59
Beer,777516,Pilsner Lager I 500ml RET 25X01 NCP,25,3664.22
Beer,778380,Rockshore Tropi 300ml RET 25X01 UG,25,1646.87
Beer,777682,Rockshore Tropi 300ml RET 25X01,25,3256
Beer,695969,Alvaro Pnapple  330ml BTL 25X01 UBL,25,0
Keg,539222,SENATOR KEG 01X01 KSM,1,4220.92
Keg,539224,SENATOR DARK 50L KEG 01X01 KSM,1,4631.03
Keg,603493,Tusker lager KEG 50lt,1,11387.86
Beer,776845,White Cap Crisp 330ml CAN 24X01,24,3735.95
Beer,777498,Tusker Lite     330ml RET 25X01 NCP,25,4117.34
Beer,777507,Tusker Malt     330ml RET 25X01 NCP,25,4117.34
Beer,777491,Tusker In Bottl 500ml RET 25X01 NCP,25,3707.81
Beer,777693,Balozi LB       500ml RET 25X01 NCP22,25,3707.81
Beer,777511,Guinness Smooth 500ml RET 25X01 NCP,25,3707.81
Beer,777495,White Cap Lager 500ml RET 25X01 NCP,25,3912.57
Beer,777517,Guinness FES    500ml RET 25X01 NCP,25,4117.34
Beer,777509,Tusker Cider    500ml RET 25X01 NCP,25,3912.57
Keg,646715,Tusker In Keg   30L   KEG,1,7339.93
Beer,764342,Hop House n Btl 500ml NRB 06X04 NRB CTN,24,4527.53
Beer,765876,Hop House n Btl 500ml RET 06X04 CTN RET,24,4527.53
Beer,762789,Hop House 13    500ml CAN 24X01,24,4641
Beer,762723,Tusker Pre AleC 500ml CAN 24X01,24,4863.94
Beer,765852,Tusker Prm Ale  500ml RET 06X04 CTN RET,24,4545.9
Beer,764848,Tusker Prm Ale  500ml NRB 06X04 NRB CTN,24,4878.76
Keg,688295,Senator Dark Lg 50L   KEG       EXTRA,1,4631.03
Beer,738783,Hop House n Btl 500ml RET 25X01,25,4527.53
Beer,754480,Hop House 13    500ml RET 25X01,25,4527.53
Beer,754509,Tusker Prm Ale  500ml RET 25X01,25,4353.77
Beer,678832,Tusker Lite Can 500ml CAN 24X01,24,4271.49
Beer,678847,Tusker Malt Can 500ml CAN 24X01,24,4271.49
Beer,674681,Guinness FES    500ml CAN 24X01 UG,24,262.27
Beer,680886,Guinness FES    500ml CAN 24X01 DEFCO,24,2377.45
Beer,616862,White Cap Light 300ml RET 25X01,25,3645.63
Beer,696906,Guinness FES    500ml RET 25X01 DEFCO,25,2336.84
Beer,764332,Tusker Malt In  330ml NRB 06X04 NRB CTN,24,4117.34
Beer,764333,Tusker Lite     330ml NRB 06X04 NRB CTN,24,4117.34
Beer,765877,Tusker Malt     330ml RET 06X04 CTN RET,24,4117.34
Beer,765878,Tusker Lite     330ml RET 06X04 CTN RET,24,4117.34
Beer,772715,Tusker Malt     330ml RET 06X04  CTN NCP,24,4117.34
Beer,772716,Tusker Lite     330ml RET 06X04  CTN NCP,24,4117.34
Keg,603482,Senator KEG Lager 50LT,1,4220.92
Beer,765827,White Cap Light 300ml RET 06X04 CTN RET,24,3645.63
Beer,765362,White Cap Light 300ml NRB 06X04 NRB CTN,24,3645.63
Beer,642754,Tusker Malt     330ml RET 25X01,25,4117.34
Beer,663869,Tusker Lite     330ml RET 25X01 LITE,25,4117.34
Beer,696894,Guinness FES    500ml RET 25X01,25,4117.34
Beer,713345,Tusker Malt     330ml RET 25X01,25,4117.34
Beer,771136,Tusker Malt     330ml RET 25X01 NCP,25,4117.34
Beer,771137,Tusker Lite     330ml RET 25X01 NCP,25,4117.34
